species,ntype,stimulus,groupID,groupsize,name,age_m,sex,condition,approach_phys,approach_n,approach_alone_n,approach_soc_n,closest_appr_dis,latency_touch,sniffs_n,manipulate_n,explore_n,man_dur,sniff_dur,exp_dur,grid_time,lick,eat,notes
Marmoset,Object,Glas marbles,L4,4,Lancia,217.5,Female,Social,1,3,0,3,0,36.97,5,1,6,11.945,5.306,17.251,194.627,NA,NA,
Marmoset,Object,Glas marbles,L4,4,Lotus,99,Male,Social,1,3,0,3,0,10.311,5,2,7,20.22,1.868,22.088,149.416,NA,NA,
Marmoset,Object,Glas marbles,L4,4,Lexus,206.5,Male,Social,1,2,0,2,0,13.146,4,1,5,0.968,0,0.968,74.608,NA,NA,
Marmoset,Object,Glas marbles,L6,4,Nux,51,Female,Social,1,7,4,3,0,5.706,14,4,18,7.574,15.416,22.99,147.214,NA,NA,
Marmoset,Object,Glas marbles,L6,4,Lex,170.5,Male,Social,1,3,0,3,0,12.279,9,0,9,0,5.94,5.94,56.824,NA,NA,
Marmoset,Object,Glas marbles,L6,4,Nougat,66,Female,Social,1,4,1,3,0,27.394,12,1,13,0.033,11.21,11.243,92.093,NA,NA,
Marmoset,Object,Glas marbles,L6,4,Nox,51,Male,Social,1,2,0,2,0,17.817,7,0,7,0,5.739,5.739,27.16,NA,NA,
Marmoset,Object,Glas marbles,L5,3,Washington,85.5,Female,Social,1,4,2,2,0,14.248,6,4,10,12.312,7.073,19.385,117.785,NA,NA,
Marmoset,Object,Glas marbles,L6,3,Wolverine,29,Male,Social,1,2,0,2,0,18.419,5,1,6,0.868,5.605,6.473,88.655,NA,NA,
Marmoset,Food,Meatballs,L5,3,Washington,85.5,Female,Social,1,2,2,0,0,7.28,1,0,1,0,0.033,0.033,20.44,1,NA,
Marmoset,Food,Meatballs,L5,3,Werewolf,29,Male,Social,1,2,1,1,0,1.44,3,0,3,0,0.033,0.033,20.2,0,0,
Marmoset,Food,Meatballs,L5,3,Wolverine,29,Male,Social,1,2,1,1,0,4.52,2,0,2,0,0.033,0.033,29.44,1,NA,
Marmoset,Food,Meatballs,L4,4,Lola,90.5,Female,Social,1,1,0,1,0,2.036,2,0,2,0,0.033,0.033,NA,0,0,
Marmoset,Food,Meatballs,L4,4,Lancia,217.5,Female,Social,1,1,0,1,0,14.982,2,0,2,0,0.033,0.033,NA,1,NA,
Marmoset,Food,Meatballs,L4,4,Lotus,99,Male,Social,1,1,0,1,0,12.012,2,0,2,0,1.535,1.535,NA,1,NA,
Marmoset,Food,Meatballs,L4,4,Lexus,206.5,Male,Social,1,1,0,1,0,14.982,1,0,1,0,0,0,NA,1,NA,
Marmoset,Food,Meatballs,L6,4,Nux,51,Female,Social,1,3,1,2,0,0.967,3,0,3,0,1.201,1.201,122.322,0,0,
Marmoset,Food,Meatballs,L6,4,Lex,170.5,Male,Social,1,2,0,2,0,4.738,3,0,3,0,0.534,0.534,39.373,1,1,
Marmoset,Food,Meatballs,L6,4,Nougat,66,Female,Social,1,7,0,7,0,26.66,6,0,6,0,1.902,1.902,146.546,0,0,
Marmoset,Food,Meatballs,L6,4,Nox,51,Male,Social,1,5,1,4,0,6.206,4,0,4,0,0.334,0.334,97.598,0,0,
Marmoset,Food,Meatballs,L8,2,Washington,85.5,Female,Social,1,2,1,1,0,55.789,1,0,1,0,0.033,0.033,83.45,1,1,
Marmoset,Food,Meatballs,L8,2,Wolverine,29,Male,Social,1,7,5,2,0,28.962,8,1,9,0.033,1.968,2.001,101.67,0,0,
Marmoset,Food,Meatballs,R2,2,Marvin,164,Male,Social,1,2,2,0,0,13.781,5,0,5,0,3.002,3.002,48.482,1,1,
Marmoset,Food,Meatballs,R2,2,Jamaica,59,Female,Social,0,0,0,0,1,NA,0,0,0,0,0,0,0,0,0,
Marmoset,Food,Meatballs,R3,2,John,162.5,Male,Social,1,2,2,0,0,2.369,3,0,3,0,0.3,0.3,20.287,1,1,
Marmoset,Food,Meatballs,R3,2,Mojita,65,Female,Social,1,1,1,0,0,24.324,1,0,1,0,0.033,0.033,24.358,0,0,
Marmoset,Food,Meatballs,H1,2,Wasabi,45,Female,Social,1,1,1,0,1,NA,0,0,0,0,0,0,11.945,0,0,
Marmoset,Food,Meatballs,H1,2,Kapi,218,Male,Social,1,3,3,0,0,52.953,4,1,5,0.033,3.603,3.636,51.752,1,1,
Marmoset,Food,Meatballs,H6,2,Vesta,192,Female,Social,1,1,0,1,1,NA,0,0,0,0,0,0,21.588,0,0,
Marmoset,Food,Meatballs,H6,2,Vito,172.5,Male,Social,1,4,4,0,0,10.244,8,4,12,1.902,2.268,4.17,84.852,1,1,
Marmoset,Food,Mozzarella balls,L8,2,Wuschel,13,Male,Individual,0,0,NA,NA,1,NA,0,0,0,0,0,0,0,0,0,
Marmoset,Food,Mozzarella balls,R2,2,Marvin,166,Male,Individual,1,3,NA,NA,0,33.434,2,1,3,1.969,0.934,2.903,35.369,0,0,
Marmoset,Food,Mozzarella balls,R2,2,Jamaica,61,Female,Individual,0,0,NA,NA,2,NA,0,0,0,0,0,0,0,0,0,
